ERROR	2022/11/08 15:05:26 main.go:71: dial tcp 127.0.0.1:3306: connectex: No connection could be made because the target machine actively refused it.
9:44:18 127.0.0.1:56014 - HTTP/2.0 GET /user/login
INFO	2022/10/31 19:44:25 127.0.0.1:56014 - HTTP/2.0 POST /user/login
INFO	2022/10/31 19:45:06 127.0.0.1:56014 - HTTP/2.0 POST /user/login
INFO	2022/10/31 19:45:18 127.0.0.1:56014 - HTTP/2.0 POST /user/login
INFO	2022/10/31 19:45:26 127.0.0.1:56014 - HTTP/2.0 POST /user/login
INFO	2022/10/31 19:45:31 127.0.0.1:56014 - HTTP/2.0 POST /user/login
INFO	2022/10/31 19:45:42 127.0.0.1:56014 - HTTP/2.0 POST /user/login
INFO	2022/10/31 19:45:50 127.0.0.1:56014 - HTTP/2.0 POST /user/login
INFO	2022/10/31 19:45:55 127.0.0.1:56014 - HTTP/2.0 POST /user/login
INFO	2022/10/31 19:46:00 127.0.0.1:56014 - HTTP/2.0 POST /user/login
INFO	2022/10/31 19:46:01 127.0.0.1:56014 - HTTP/2.0 GET /snippet/create
INFO	2022/10/31 19:46:08 127.0.0.1:56014 - HTTP/2.0 GET /
INFO	2022/10/31 20:15:16 127.0.0.1:56057 - HTTP/2.0 POST /user/logout
INFO	2022/10/31 20:15:16 127.0.0.1:56057 - HTTP/2.0 GET /
INFO	2022/10/31 20:15:17 127.0.0.1:56057 - HTTP/2.0 GET /user/login
INFO	2022/10/31 20:16:21 127.0.0.1:56058 - HTTP/2.0 GET /user/login
INFO	2022/10/31 20:16:22 127.0.0.1:56058 - HTTP/2.0 GET /user/login
INFO	2022/10/31 20:16:31 127.0.0.1:56058 - HTTP/2.0 POST /user/login
INFO	2022/10/31 20:16:39 127.0.0.1:56058 - HTTP/2.0 POST /user/login
INFO	2022/10/31 20:16:41 127.0.0.1:56058 - HTTP/2.0 POST /user/login
INFO	2022/10/31 20:16:45 127.0.0.1:56058 - HTTP/2.0 POST /user/login
INFO	2022/10/31 20:16:45 127.0.0.1:56058 - HTTP/2.0 GET /snippet/create
